Name,YearsAppearing,ImputedProbF,ImputedProbM
KAIDI,5,1,0
KAIDIE,5,1,0
KAIDON,10,0,1
KAIDY,5,1,0
KAIDYN,6,0.0384615384615385,0.961538461538462
KAIE,5,0,1
KAIEN,1,0,1
KAIESHA,4,1,0
KAIF,15,0,1
KAIHAN,3,0,1
KAII,4,0,1
KAIJA,3,1,0
KAIL,2,0,1
KAILA,16,1,0
KAILAH,7,1,0
KAILAM,2,0,1
KAILAN,16,0,1
KAILANI,2,1,0
KAILAS,1,0,1
KAILASH,6,0,1
KAILEB,3,0,1
KAILEE,6,1,0
KAILEIGH,8,1,0
KAILEM,16,0,1
KAILEN,13,0,1
KAILEY,16,1,0
KAILIB,1,0,1
KAILIN,1,0,1
KAILLUM,2,0,1
KAILUB,1,0,1
KAILUM,16,0,1
KAILUN,1,0,1
KAILYN,7,1,0
KAIM,2,0,1
KAIMANA,1,1,0
KAIMEN,1,0,1
KAIN,16,0,1
KAINAAT,15,1,0
KAINAN,7,0,1
KAINAT,16,1,0
KAINE,16,0,1
KAINEN,1,0,1
KAIO,1,0,1
KAION,2,0,1
KAIRA,15,1,0
KAIRAH,3,1,0
KAIRAN,12,0,1
KAIRAV,2,0,1
KAIREECE,1,0,1
KAIRELL,1,0,1
KAIREN,3,0,1
KAIRESE,1,0,1
KAIRI,7,1,0
KAIRO,15,0,1
KAIRON,13,0,1
KAIROS,1,0,1
KAIRYN,1,0,1
KAIS,14,0,1
KAISAAN,4,0,1
KAISAN,4,0,1
KAISAR,2,0,1
KAISEN,1,0,1
KAISER,11,0,1
KAISEY,5,1,0
KAISHA,16,1,0
KAISIE,1,1,0
KAISON,5,0,1
KAITIE,1,1,0
KAITLAN,16,1,0
KAITLAND,2,1,0
KAITLEN,11,1,0
KAITLIN,16,1,0
KAITLIN-LOUISE,1,1,0
KAITLIN-ROSE,1,1,0
KAITLYN,16,1,0
KAITLYN-MARIE,1,1,0
KAITLYNE,2,1,0
KAITLYNN,14,1,0
KAITLYNNE,2,1,0
KAITO,6,0,1
KAIUS,9,0,1
KAIYA,15,0.958425678425678,0.0415743215743216
KAIYAH,5,1,0
KAIYAN,8,0,1
KAIYEN,2,0,1
KAIYON,3,0,1
KAIZ,1,0,1
KAIZAR,1,0,1
KAIZEN,3,0,1
KAIZER,5,0,1
KAJ,9,0,1
KAJA,14,1,0
KAJAL,14,1,0
KAJAN,3,0,1
KAJETAN,6,0,1
KAJOL,13,1,0
KAJUS,8,0,1
KAL,13,0,1
KAL-EL,6,0,1
KALA,7,1,0
KALAM,9,0,1
KALAN,15,0,1
KALANI,4,0.375,0.625
KALAYA,1,1,0
KALDEN,1,0,1
KALE,15,0,1
KALEA,2,1,0
KALEAH,1,1,0
KALEB,16,0,1
KALEBH,2,0,1
KALEE,2,1,0
KALEEL,3,0,1
KALEEM,16,0,1
KALEIGH,12,1,0
KALEISHA,6,1,0
KALEL,7,0,1
KALEM,16,0,1
KALEN,16,0,1
KALESHA,3,1,0
KALEY,16,1,0
KALI,16,1,0
KALIA,6,1,0
KALIAH,1,1,0
KALIB,9,0,1
KALICE,2,1,0
KALICIA,2,1,0
KALID,8,0,1
KALIE,2,1,0
KALIF,1,0,1
KALIFA,2,1,0
KALIL,11,0,1
KALILA,10,1,0
KALIM,14,0,1
KALIN,3,0,1
KALINA,9,1,0
KALISA,1,1,0
KALISE,5,1,0
KALISHA,16,1,0
KALISSA,1,1,0
KALISTA,3,1,0
KALIYAH,11,1,0
KALKIDAN,1,1,0
KALLAI,1,0,1
KALLAM,7,0,1
KALLAN,13,0,1
KALLE,2,0,1
KALLEM,6,0,1
KALLEN,10,0,1
KALLI,14,1,0
KALLIA,2,1,0
KALLIE,16,1,0
KALLIOPI,1,1,0
KALLIS,2,0,1
KALLISTA,2,1,0
KALLON,2,0,1
KALLUM,16,0,1
KALLY,11,1,0
KALMAN,2,0,1
KALO,1,0,1
KALON,7,0,1
KALONICE,1,1,0
KALONJI,1,0,1
KALOYAN,4,0,1
KALSOOM,9,1,0
KALSUM,1,1,0
KALTHUM,1,1,0
KALTRINA,1,1,0
KALUB,4,0,1
KALUM,16,0,1
KALUP,1,0,1
KALVIN,16,0,1
KALYA,1,1,0
KALYAN,4,0,1
KALYANI,2,1,0
KALYN,2,1,0
KAM,1,0,1
KAM'RON,1,0,1
KAMA,2,1,0
KAMAAL,10,0,1
KAMAHL,2,0,1
KAMAI,1,0,1
KAMAL,16,0,1
KAMALA,3,1,0
KAMALDEEP,3,0.5,0.5
KAMALI,5,0,1
KAMALJEET,1,1,0
KAMALJIT,2,1,0
KAMALPREET,3,0.666666666666667,0.333333333333333
KAMANI,6,0,1
KAMAR,12,0,1
KAMARA,12,1,0
KAMARAN,3,0,1
KAMARI,11,0,1
KAMARIA,1,1,0
KAMARION,1,0,1
KAMARL,5,0,1
KAMARLEY,1,0,1
KAMARNI,4,0,1
KAMAU,5,0,1
KAMAYA,1,1,0
KAMDEN,1,0,1
KAMEA,1,1,0
KAMEEL,3,0,1
KAMEELA,2,1,0
KAMEL,3,0,1
KAMELIA,3,1,0
KAMEN,9,0,1
KAMERAN,5,0,1
KAMERON,16,0.0353187679280945,0.964681232071905
KAMESHA,1,1,0
KAMI,2,1,0
KAMIAH,2,1,0
KAMIL,16,0,1
KAMILA,15,1,0
KAMILAH,16,1,0
KAMILE,10,1,0
KAMILIA,2,1,0
KAMILLA,8,1,0
KAMIRA,1,1,0
KAMISHA,5,1,0
KAMIYA,3,1,0
KAMIYAH,2,1,0
KAMRAAN,7,0,1
KAMRAN,16,0,1
KAMREN,7,0,1
KAMRON,16,0,1
KAMRUL,5,0,1
KAMRUN,2,0,1
KAMRYN,3,0.666666666666667,0.333333333333333
KAMSI,3,0.333333333333333,0.666666666666667
KAMSIYOCHUKWU,5,0.402020202020202,0.597979797979798
KAMURAN,1,0,1
KAMYA,1,1,0
KAMYAR,1,0,1
KANA,2,1,0
KANAAN,1,0,1
KANAKO,1,1,0
KANAV,4,0,1
KANDICE,6,1,0
KANE,16,0,1
KANEEZ,8,1,0
KANG,2,0,1
KANI,8,0.828125,0.171875
KANIHA,1,1,0
KANIKA,8,1,0
KANISHA,15,1,0
KANISHK,3,0,1
KANISHKA,4,1,0
KANIZ,2,1,0
KANNAN,1,0,1
KANO,1,0,1
KANWAL,7,1,0
KANY,1,1,0
KANYA,2,0.5,0.5
KANYE,7,0,1
KANYINSOLA,2,1,0
KANZA,1,1,0
KANZAH,1,1,0
KAORI,1,1,0
KAPIL,5,0,1
KAPILAN,1,0,1
KAPRICE,1,1,0
KAR,9,0.513888888888889,0.486111111111111
KARA,16,1,0
KARA-LEIGH,5,1,0
KARA-LOUISE,5,1,0
KARAGH,1,1,0
KARAH,3,1,0
KARALEE,1,1,0
KARAM,16,0.0830043989212071,0.916995601078793
KARAMDEEP,2,0.5,0.5
KARAMJEET,2,0.8125,0.1875
KARAMJIT,2,0,1
KARAMVEER,11,0.0303030303030303,0.96969696969697
KARAMVIR,3,0,1
KARAN,16,0.0165598290598291,0.983440170940171
KARANDEEP,14,0.0462662337662338,0.953733766233766
KARANJEET,1,0,1
KARANJIT,3,0.148148148148148,0.851851851851852
KARANJOT,1,0,1
KARANVEER,14,0,1
KARANVIR,9,0,1
KARDEL,1,0,1
KARDELEN,12,1,0
KARDELL,1,0,1
KARDO,4,0,1
KAREEM,16,0,1
KAREEMA,11,1,0
KAREEMAH,7,1,0
KAREEN,1,1,0
KAREENA,15,1,0
KAREL,5,0,1
KARELL,2,0,1
KAREM,1,0,1
KAREN,16,1,0
KARENA,5,1,0
KARENJIT,1,1,0
KARENZA,11,1,0
KARHA,1,1,0
KARHYS,1,1,0
KARI,13,1,0
KARIKALAN,1,0,1
KARILE,1,1,0
KARIM,16,0,1
KARIMA,16,1,0
KARIMAH,13,1,0
KARIN,14,1,0
KARINA,16,1,0
KARINE,4,1,0
KARIS,16,0.996590909090909,0.00340909090909091
KARISHA,4,1,0
KARISHMA,16,1,0
KARISMA,7,1,0
KARISS,6,1,0
KARISSA,10,1,0
KARL,16,0,1
KARLA,16,1,0
KARLEE,4,1,0
KARLEEN,1,1,0
KARLEIGH,7,1,0
KARLENE,1,1,0
KARLEY,13,1,0
KARLI,12,1,0
KARLIE,16,1,0
KARLIS,3,0,1
KARLO,4,0,1
KARLOS,9,0,1
KARLTON,5,0,1
KARLY,16,1,0
KARMA,13,0.980769230769231,0.0192307692307692
KARMAN,4,0.636363636363636,0.363636363636364
KARMANI,1,0,1
KARMEL,2,1,0
KARMELLA,1,1,0
KARMEN,14,1,0
KARN,3,0,1
KARNA,1,0,1
KARNAN,1,0,1
KARNEL,1,0,1
KARNELL,4,0,1
KARNYE,2,0,1
KARO,2,0,1
KAROL,8,0,1
KAROLINA,15,1,0
KAROLINE,3,1,0
KAROLIS,6,0,1
KARRA,5,1,0
KARRAN,3,0,1
KARRERA,1,1,0
KARRI,1,1,0
KARRIE,3,1,0
KARRIGAN,1,1,0
KARRINA,1,1,0
KARRIS,10,1,0
KARSEN,1,0,1
KARSON,8,0,1
KARSTEN,6,0,1
KARTA,1,0,1
KARTAR,6,0,1
KARTEL,4,0,1
KARTER,9,0,1
KARTHIK,9,0,1
KARTHIKEYA,1,0,1
KARTIK,12,0,1
KARUM,7,0,1
KARUN,11,0,1
KARYN,4,1,0
KARYS,16,1,0
KASAM,5,0,1
KASE,1,0,1
KASEEM,4,0,1
KASEN,2,0,1
KASEY,16,0.754217098881824,0.245782901118176
KASEY-LEE,2,1,0
KASEY-LEIGH,7,1,0
KASEY-MAE,1,1,0
KASH,6,0,1
KASHA,11,1,0
KASHAAN,2,0,1
KASHAF,10,0.7,0.3
KASHAN,5,0,1
KASHANE,1,0,1
KASHAUN,1,0,1
KASHEF,1,0,1
KASHIF,16,0,1
KASHIFA,2,1,0
KASHISH,9,1,0
KASHMALA,6,1,0
KASHMIR,1,1,0
KASHVI,9,1,0
KASI,6,1,0
KASIA,16,1,0
KASIB,2,0,1
KASIE,16,0.966826923076923,0.0331730769230769
KASIM,16,0,1
KASJAN,3,0,1
KASON,5,0,1
KASPAR,13,0,1
KASPARAS,4,0,1
KASPER,13,0,1
KASPIAN,3,0,1
KASRA,9,0,1
KASS,1,0,1
KASSA,1,0,1
KASSAM,2,0,1
KASSANDRA,14,1,0
KASSEY,4,1,0
KASSI,3,1,0
KASSIA,13,1,0
KASSIAH,1,1,0
KASSIDY,12,1,0
KASSIE,15,1,0
KASSIM,14,0,1
KASSIUS,4,0,1
KASTHURI,1,1,0
KASTURI,1,1,0
KASUMI,1,1,0
KATALINA,9,1,0
KATANA,6,1,0
KATARINA,16,1,0
KATARZYNA,15,1,0
KATAYA,1,1,0
KATE,16,1,0
KATE-LYN,2,1,0
KATE-LYNN,3,1,0
KATEE,1,1,0
KATELAN,12,1,0
KATELAND,7,1,0
KATELEN,8,1,0
KATELIN,16,1,0
KATELYN,16,1,0
KATELYND,1,1,0
KATELYNE,5,1,0
KATELYNN,15,1,0
KATELYNNE,6,1,0
KATERINA,16,1,0
KATERYNA,1,1,0
KATEY,16,1,0
KATHAN,4,0,1
KATHARINA,15,1,0
KATHARINE,16,1,0
KATHARYN,1,1,0
KATHERINA,3,1,0
KATHERINE,16,1,0
KATHERYN,8,1,0
KATHERYNE,1,1,0
KATHLEEN,16,1,0
KATHLYN,2,1,0
KATHRIN,1,1,0
KATHRINA,1,1,0
KATHRINE,15,1,0
KATHRYN,16,1,0
KATHRYNE,3,1,0
KATHY,12,1,0
KATI,10,1,0
KATIA,16,1,0
KATIE,16,1,0
KATIE-,8,1,0
KATIE-ANN,16,1,0
KATIE-ANNE,13,1,0
KATIE-GRACE,2,1,0
KATIE-JANE,15,1,0
KATIE-JAYNE,9,1,0
KATIE-JO,9,1,0
KATIE-LEA,1,1,0
KATIE-LEE,6,1,0
KATIE-LEIGH,15,1,0
KATIE-LOU,2,1,0
KATIE-LOUISE,16,1,0
KATIE-MAE,11,1,0
KATIE-MAI,3,1,0
KATIE-MARIE,15,1,0
KATIE-MAY,13,1,0
KATIE-ROSE,13,1,0
KATIEANN,1,1,0
KATIEANNE,1,1,0
KATIELEIGH,3,1,0
KATIELOUISE,2,1,0
KATINKA,6,1,0
KATISHA,1,1,0
KATJA,13,1,0
KATLAN,1,1,0
KATLIN,12,1,0
KATLYN,15,1,0
KATLYNN,3,1,0
KATREENA,1,1,0
KATRESE,1,1,0
KATRIANA,1,1,0
KATRIEL,3,1,0
KATRIN,12,1,0
KATRINA,16,1,0
KATRINE,6,1,0
KATRIONA,11,1,0
KATRYN,3,1,0
KATRYNA,1,1,0
KATY,16,1,0
KATY-JAYNE,1,1,0
KATY-LEE,1,1,0
KATY-LEIGH,1,1,0
KATY-LOUISE,3,1,0
KATY-MAY,1,1,0
KATYA,16,1,0
KAUA,1,0,1
KAUAN,2,0,1
KAUSAR,8,0.4375,0.5625
KAUSER,1,1,0
KAUSHAL,1,0,1
KAUSHIK,2,0,1
KAUTHAR,8,1,0
KAVALI,1,0,1
KAVALLI,1,0,1
KAVAN,16,0,1
KAVANA,1,0,1
KAVANAGH,5,0,1
KAVARN,1,0,1
KAVEEN,2,0,1
KAVEETA,1,1,0
KAVEH,1,0,1
KAVEL,3,0,1
KAVELL,2,0,1
KAVELLE,1,0,1
KAVEN,9,0,1
KAVI,15,0.0507936507936508,0.949206349206349
KAVIN,13,0,1
KAVINA,3,1,0
KAVISH,7,0,1
KAVISHA,6,1,0
KAVISHAN,1,0,1
KAVITA,15,1,0
KAVIYA,3,1,0
KAVNEET,1,1,0
KAVYA,10,0.876700854700855,0.123299145299145
KAWSAR,8,0.208333333333333,0.791666666666667
KAWTAR,2,1,0
KAWTHAR,13,1,0
KAWTHER,4,1,0
KAY,16,0.948137254901961,0.0518627450980392
KAY-LEIGH,6,1,0
KAYA,16,0.742912285624178,0.257087714375822
KAYAAN,4,0,1
KAYAH,8,1,0
KAYAL,3,0.666666666666667,0.333333333333333
KAYAN,14,0,1
KAYANA,3,1,0
KAYANN,2,1,0
KAYANNA,3,1,0
KAYANNE,1,1,0
KAYCE,12,1,0
KAYCEE,15,0.963882350479658,0.0361176495203423
KAYCEE-LEIGH,4,1,0
KAYCEE-MAY,1,1,0
KAYCEY,7,1,0
KAYCI,10,1,0
KAYCIE,13,1,0
KAYCIE-LEIGH,1,1,0
KAYD,1,0,1
KAYDA,3,1,0
KAYDAN,10,0,1
KAYDANCE,1,1,0
KAYDE,13,0.340792540792541,0.659207459207459
KAYDEE,15,1,0
KAYDEE-LEIGH,4,1,0
KAYDEN,16,0.00952908693912356,0.990470913060877
KAYDEN-JAMES,3,0,1
KAYDEN-JAY,1,0,1
KAYDEN-LEE,4,0,1
KAYDEN-SCOTT,1,0,1
KAYDENCE,8,1,0
KAYDEY,1,1,0
KAYDI,11,1,0
KAYDI-LEIGH,1,1,0
KAYDIAN,1,1,0
KAYDIE,9,1,0
KAYDIE-LEIGH,2,1,0
KAYDIN,3,0,1
KAYDN,8,0,1
KAYDON,12,0,1
KAYDON-JAY,1,0,1
KAYDY,1,1,0
KAYE,16,1,0
KAYEN,1,0,1
KAYENAT,1,1,0
KAYHAN,6,0,1
KAYIN,5,0,1
KAYJAH,1,1,0
KAYLA,16,1,0
KAYLA-MAE,6,1,0
KAYLA-MAI,3,1,0
KAYLA-MARIE,2,1,0
KAYLA-MAY,3,1,0
KAYLA-ROSE,3,1,0
KAYLAH,16,1,0
KAYLAM,5,0,1
KAYLAN,16,0.0443773674242424,0.955622632575758
KAYLANI,1,1,0
KAYLE,8,0.25,0.75
KAYLEA,14,1,0
KAYLEB,9,0,1
KAYLEE,16,1,0
KAYLEEN,2,1,0
KAYLEI,3,1,0
KAYLEIGH,16,1,0
KAYLEIGH-ANN,8,1,0
KAYLEIGH-ANNE,8,1,0
KAYLEIGH-JANE,1,1,0
KAYLEIGH-LOUISE,3,1,0
KAYLEIGH-MARIE,3,1,0
KAYLEIGH-MAY,3,1,0
KAYLEM,16,0,1
KAYLEN,16,0.180557074401306,0.819442925598694
KAYLEY,16,1,0
KAYLI,10,1,0
KAYLIA,3,1,0
KAYLIB,5,0,1
KAYLIE,16,1,0
KAYLIEGH,8,1,0
KAYLIN,13,0.961538461538462,0.0384615384615385
KAYLLUM,1,0,1
KAYLON,7,0,1
KAYLUB,3,0,1
KAYLUM,16,0,1
KAYLUN,4,0,1
KAYLYN,11,1,0
KAYN,1,0,1
KAYNA,3,1,0
KAYNAAT,7,1,0
KAYNAN,2,0,1
KAYNAT,8,1,0
KAYNATH,3,1,0
KAYNE,16,0,1
KAYNEN,1,0,1
KAYO,2,0,1
KAYODE,9,0,1
KAYON,5,0,1
KAYRA,10,0.506926406926407,0.493073593073593
KAYSAH,1,1,0
KAYSAN,9,0,1
KAYSEY,8,1,0
KAYSHA,16,1,0
KAYSHIA,1,1,0
KAYSI,1,1,0
KAYSIE,14,1,0
KAYSON,7,0,1
KAYTE,3,1,0
KAYTEE,2,1,0
KAYTI,4,1,0
KAYTIE,9,1,0
KAYTLIN,15,1,0
KAYTLYN,14,1,0
KAYWAN,1,0,1
KAYZIA,2,1,0
KAZ,1,0,1
KAZEEM,3,0,1
KAZI,16,0.378402921766766,0.621597078233234
KAZIA,12,1,0
KAZIAH,3,1,0
KAZIM,15,0,1
KAZIMIERZ,1,0,1
KAZUKI,4,0,1
KC,12,0.852272727272727,0.147727272727273
KE,6,1,0
KEA,13,1,0
KEAGAN,16,0,1
KEAH,15,0.983333333333333,0.0166666666666667
KEAIRA,2,1,0
KEAL,2,0,1
KEALA,1,1,0
KEALAN,16,0,1
KEALEIGH,4,1,0
KEALEN,1,0,1
KEALEY,10,1,0
KEALIE,3,1,0
KEALY,6,1,0
KEAN,16,0,1
KEANA,15,1,0
KEANAH,1,1,0
KEANAN,16,0,1
KEANE,16,0,1
KEANEN,8,0,1
KEANNA,16,1,0
KEANNE,4,1,0
KEANO,15,0,1
KEANON,2,0,1
KEANU,16,0,1
KEANUN,1,0,1
KEAON,2,0,1
KEARA,15,1,0
KEARAN,6,0,1
KEAREN,1,0,1
KEARNA,2,1,0
KEARNEY,1,0,1
KEARNO,3,0,1
KEARON,3,0,1
KEASHA,1,1,0
KEATAN,7,0,1
KEATEN,5,0,1
KEATON,16,0,1
KEAUNA,1,1,0
KEAVEY,7,1,0
KEAVIE,6,1,0
KEAVY,14,1,0
KEBBA,7,0,1
KEBRON,1,0,1
KEDUS,1,0,1
KEEAN,10,0,1
KEEDIE,1,1,0
KEEFE,1,0,1
KEEGAN,16,0.0414979285211139,0.958502071478886
KEEGAN-LEE,2,0,1
KEEHAN,1,0,1
KEELA,10,1,0
KEELAN,16,0.00477219167321288,0.995227808326787
KEELEA,2,1,0
KEELEE,2,1,0
KEELEIGH,16,1,0
KEELEN,2,0,1
KEELEY,16,0.996773989822799,0.00322601017720136
KEELEY-ANN,2,1,0
KEELEY-ROSE,1,1,0
KEELI,4,1,0
KEELIA,1,1,0
KEELIE,16,1,0
KEELIN,8,0.8125,0.1875
KEELY,16,1,0
KEENAN,16,0,1
KEENEN,3,0,1
KEENON,1,0,1
KEERA,15,1,0
KEERAN,13,0,1
KEERAT,8,0.645791708291708,0.354208291708292
KEERATH,1,1,0
KEERON,2,0,1
KEERTAN,2,0,1
KEERTHANA,7,1,0
KEERTHI,2,1,0
KEERTHIKA,1,1,0
KEES,2,0,1
KEESHA,13,1,0
KEETAN,2,0,1
KEETON,4,0,1
KEEVA,14,1,0
KEEVAH,2,1,0
KEEVI,1,1,0
KEEVIE,3,1,0
KEEYA,4,1,0
KEEYAN,3,0,1
KEGAN,15,0,1
KEHINDE,16,0.499559815184815,0.500440184815185
KEI,12,0.03125,0.96875
KEIA,5,1,0
KEIAN,13,0,1
KEIANA,4,1,0
KEIANNA,3,1,0
KEIARA,4,1,0
KEIARAH,1,1,0
KEIDA,1,1,0
KEIDEN,1,0,1
KEIFER,4,0,1
KEIGAN,12,0,1
KEIGHAN,1,0,1
KEIGHLEY,13,1,0
KEIGHTON,2,0,1
KEIKO,1,1,0
KEIL,4,0,1
KEILA,12,1,0
KEILAH,6,1,0
KEILAN,16,0,1
KEILANA,1,1,0
KEILEIGH,6,1,0
KEILEY,8,1,0
KEILY,3,1,0
KEINAN,6,0,1
KEION,7,0,1
KEIR,16,0.00724516988674217,0.992754830113258
KEIRA,16,1,0
KEIRA-LEA,3,1,0
KEIRA-LEE,3,1,0
KEIRA-LEIGH,8,1,0
KEIRA-LOUISE,7,1,0
KEIRA-MAE,3,1,0
KEIRA-MAI,1,1,0
KEIRA-MARIE,2,1,0
KEIRA-MAY,3,1,0
KEIRA-ROSE,1,1,0
KEIRAH,4,1,0
KEIRALEIGH,1,1,0
KEIRAN,16,0,1
KEIREN,14,0,1
KEIRON,16,0,1
KEIRRA,2,1,0
KEIRRAN,1,0,1
KEIRYN,1,0,1
KEISHA,16,1,0
KEISI,4,1,0
KEITA,3,1,0
KEITH,16,0,1
KEITHA,1,1,0
KEITIJA,1,1,0
KEITON,4,0,1
KEIVA,4,1,0
KEIYONA,1,1,0
KEJSI,5,1,0
KEKELI,1,0,1
KEL,4,0,1
KELAN,16,0,1
KELBY,8,0.0625,0.9375
KELCEE,1,1,0
KELCEY,8,1,0
KELCI,15,1,0
KELCIE,14,1,0
KELCY,5,1,0
KELDA,3,1,0
KELDON,1,0,1
KELECHI,16,0.236221590909091,0.763778409090909
KELEIGH,13,1,0
KELHAM,2,0,1
KELI,2,1,0
KELIS,12,1,0
KELISA,2,1,0
KELISE,12,1,0
KELISHA,11,1,0
KELL,2,0,1
KELLA,1,1,0
KELLAN,16,0.015625,0.984375
KELLAND,3,0,1
KELLE,1,1,0
KELLEN,15,0.0285714285714286,0.971428571428571
KELLER,6,0,1
KELLEY,4,0.5,0.5
KELLI,6,1,0
KELLIANNE,1,1,0
KELLIE,15,1,0
KELLIE-ANN,1,1,0
KELLIE-MARIE,1,1,0
KELLIS,6,1,0
KELLISE,3,1,0
KELLSEY,1,1,0
KELLSIE,2,1,0
KELLUM,2,0,1
KELLY,16,0.96388350895209,0.0361164910479101
KELLY-ANN,8,1,0
KELLY-ANNE,6,1,0
KELLY-JO,1,1,0
KELLY-LOUISE,2,1,0
KELLY-MARIE,9,1,0
KELLYANN,4,1,0
KELLYANNE,2,1,0
KELLYMARIE,1,1,0
KELSA,2,1,0
KELSEA,16,1,0
KELSEE,3,1,0
KELSEI,1,1,0
KELSEIGH,3,1,0
KELSEY,16,0.970151011020976,0.029848988979024
KELSEY-,1,1,0
KELSEY-JO,2,1,0
KELSEY-LEIGH,7,1,0
KELSEY-MAE,1,1,0
KELSEY-MAI,1,1,0
KELSEY-MAY,2,1,0
KELSI,16,1,0
KELSIE,16,1,0
KELSIE-ANN,1,1,0
KELSIE-LEIGH,3,1,0
KELSIE-MAE,1,1,0
KELSIE-MARIE,1,1,0
KELSIE-ROSE,1,1,0
KELSO,1,0,1
KELSON,11,0,1
KELSTON,2,0,1
KELSY,13,1,0
KELTON,16,0,1
KELVIN,16,0,1
KELYAN,2,0,1
KELYN,1,0,1
KEMAL,16,0,1
KEMANI,1,0,1
KEMANIE,1,0,1
KEMAR,13,0,1
KEMARI,4,0,1
KEMI,15,0.977777777777778,0.0222222222222222
KEMUEL,2,0,1
KEN,16,0,1
KENADIE,3,1,0
KENAI,2,0,1
KENAN,16,0,1
KENAYA,2,1,0
KENDAL,16,0.822250390540832,0.177749609459168
KENDALL,16,0.789300976800977,0.210699023199023
KENDEL,1,1,0
KENDELL,2,1,0
KENDON,2,0,1
KENDRA,16,1,0
KENDRICK,9,0,1
KENECHI,1,0,1
KENECHUKWU,9,0.037037037037037,0.962962962962963
KENEIL,1,0,1
KENENNA,1,0,1
KENISHA,12,1,0
KENJI,8,0,1
KENLEY,4,0,1
KENNA,13,0.888888888888889,0.111111111111111
KENNADIE,2,1,0
KENNADY,4,1,0
KENNEDI,5,1,0
KENNEDIE,1,1,0
KENNEDY,16,0.782347117923836,0.217652882076164
KENNETH,16,0,1
KENNIE,2,0,1
KENNY,16,0,1
KENRICK,1,0,1
KENSA,6,1,0
KENSEY,2,1,0
KENSI,2,1,0
KENSIE,3,1,0
KENSLEY,1,0,1
KENT,13,0,1
KENTARO,2,0,1
KENTO,3,0,1
KENTON,15,0,1
KENYA,16,1,0
KENYAH,3,1,0
KENYON,3,0,1
KENZA,16,1,0
KENZI,13,0.64489810032006,0.35510189967994
KENZIE,16,0.597240381388446,0.402759618611554
KENZIE-JAMES,1,0,1
KENZIE-JAY,3,0,1
KENZIE-LEE,6,0,1
KENZO,8,0,1
KENZY,7,0.125,0.875
KEO,5,0,1
KEOGH,2,0,1
KEON,16,0,1
KEONA,11,1,0
KEONE,5,0,1
KEONI,5,0.2,0.8
KEOWN,4,0,1
KERA,15,1,0
KERALA,1,1,0
KERAN,4,0.5,0.5
KERBY,1,1,0
KEREECE,1,1,0
KEREM,16,0,1
KEREN,16,1,0
KERENA,3,1,0
KERENSA,13,1,0
KERENZA,15,1,0
KERI,15,1,0
KERI-ANN,2,1,0
KERI-ANNE,1,1,0
KERIA,1,1,0
KERIAN,4,0,1
KERIANNE,1,1,0
KERIM,14,0,1
KERIN,2,1,0
KERINA,2,1,0
KERIS,16,1,0
KERISHA,2,1,0
KERISS,1,1,0
KERN,6,0,1
KERNIUS,1,0,1
KERON,5,0,1
KERR,3,0,1
KERRA,3,1,0
KERRI,14,1,0
KERRI-ANN,7,1,0
KERRI-ANNE,3,1,0
KERRIANN,2,1,0
KERRIANNE,4,1,0
KERRIE,15,1,0
KERRIE-ANN,1,1,0
KERRIE-ANNE,2,1,0
KERRIGAN,6,0.583333333333333,0.416666666666667
KERRIN,5,0.885714285714286,0.114285714285714
KERRIS,15,1,0
KERRON,1,0,1
KERRY,16,0.973163259604133,0.0268367403958675
KERRY-ANN,14,1,0
KERRY-ANNE,10,1,0
KERRY-LEE,1,1,0
KERRY-LEIGH,1,1,0
KERRY-LOUISE,1,1,0
KERRYANN,9,1,0
KERRYANNE,5,1,0
KERRYN,10,1,0
KERSHA,4,1,0
KERSTIN,3,1,0
KERVIN,1,0,1
KERYN,12,1,0
KERYS,16,1,0
KES,11,0.300699300699301,0.699300699300699
KESAR,1,1,0
KESHA,9,1,0
KESHAN,1,0,1
KESHAUN,1,0,1
KESHAV,16,0,1
KESHAVA,1,0,1
KESHAWN,2,0,1
KESHET,1,1,0
KESHIA,4,1,0
KESHIKA,3,1,0
KESHINI,1,1,0
KESHNI,1,1,0
KESHVI,2,1,0
KESIA,16,1,0
KESLEY,2,0,1
KESSER,1,0,1
KESSIA,6,1,0
KESTER,16,0,1
KESTON,6,0,1
KESTRA,1,1,0
KETAN,13,0,1
KETIA,4,1,0
KETIJA,1,1,0
KETRIN,2,1,0
KETSIA,15,1,0
KETURAH,12,1,0
KETZIAH,1,1,0
KEVA,2,1,0
KEVAL,11,0,1
KEVAN,12,0,1
KEVELL,1,0,1
KEVELLE,1,0,1
KEVEN,4,0,1
KEVIN,16,0,1
KEVINA,1,1,0
KEVINAS,6,0,1
KEVINS,2,0,1
KEVON,6,0,1
KEVSER,1,1,0
KEWAN,1,0,1
KEWELL,3,0,1
KEWIN,1,0,1
KEYA,16,1,0
KEYAAN,8,0,1
KEYAH,2,1,0
KEYAN,14,0,1
KEYANA,3,1,0
KEYANNA,6,1,0
KEYARA,3,1,0
KEYARNA,2,1,0
KEYLA,4,1,0
KEYLAN,4,0,1
KEYLEE,3,1,0
KEYLEIGH,13,1,0
KEYLEY,2,1,0
KEYON,9,0,1
KEYON'DRE,1,0,1
KEYONTE,1,1,0
KEYRA,5,1,0
KEYSHA,5,1,0
KEYSHAWN,1,0,1
KEYSHIA,4,1,0
KEZ,3,0,1
